time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/02:03:43.636752,612,1590426223,582103967,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004656, 0.00062, 0.002086, 7e-05)"
2020/05/26/02:03:43.692461,613,1590426223,636660099,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004654, 0.00062, 0.002088, 7e-05)"
2020/05/26/02:03:43.747918,614,1590426223,692404985,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004679, 0.00062, 0.002088, 6.8e-05)"
2020/05/26/02:03:43.803489,615,1590426223,747912883,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004652, 0.00062, 0.00209, 6.6e-05)"
2020/05/26/02:03:43.857533,616,1590426223,803401947,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004659, 0.00062, 0.002092, 6.4e-05)"
2020/05/26/02:03:43.911875,617,1590426223,857346057,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004659, 0.00062, 0.002092, 6.4e-05)"
2020/05/26/02:03:43.966844,618,1590426223,911861896,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000122, 0.004656, 0.00062, 0.002094, 6.2e-05)"
2020/05/26/02:03:44.022786,619,1590426223,966701984,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000124, 0.004656, 0.00062, 0.002096, 6.2e-05)"
2020/05/26/02:03:44.077848,620,1590426224,22720098,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000124, 0.00465, 0.00062, 0.002105, 6e-05)"
2020/05/26/02:03:44.132419,621,1590426224,77806949,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(0, -3, -3, -1, 0, -3, 2)","(0.0, 0.0026, -0.0026, -0.0008, 0.0, -0.0029, -0.0029)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-4.5e-05, -0.003708, 0.000124, 0.004656, 0.00062, 0.002111, 5.8e-05)"
