time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2020/05/26/02:05:04.504176,45764,1590426304,504024914,robotiq_ft_frame_id,-10.6400003433,239.210006714,4.21999979019,5.22800016403,2.13499999046,1.32400000095
2020/05/26/02:05:04.520524,45765,1590426304,520351797,robotiq_ft_frame_id,-10.6199998856,239.309997559,4.19999980927,5.23000001907,2.132999897,1.3259999752
2020/05/26/02:05:04.536866,45766,1590426304,536708702,robotiq_ft_frame_id,-10.6499996185,239.279998779,4.32999992371,5.22800016403,2.13199996948,1.32500004768
2020/05/26/02:05:04.553167,45767,1590426304,553027305,robotiq_ft_frame_id,-10.5600004196,239.300003052,4.28000020981,5.23000001907,2.13400006294,1.32299995422
2020/05/26/02:05:04.569509,45768,1590426304,569339248,robotiq_ft_frame_id,-10.5600004196,239.309997559,4.28000020981,5.23099994659,2.13499999046,1.32400000095
2020/05/26/02:05:04.585869,45769,1590426304,585687618,robotiq_ft_frame_id,-10.6199998856,239.309997559,4.32000017166,5.23000001907,2.132999897,1.3259999752
2020/05/26/02:05:04.598222,45770,1590426304,597990118,robotiq_ft_frame_id,-10.6499996185,239.339996338,4.23000001907,5.22900009155,2.13499999046,1.32500004768
2020/05/26/02:05:04.614491,45771,1590426304,614306275,robotiq_ft_frame_id,-10.6999998093,239.289993286,4.23999977112,5.22800016403,2.13599991798,1.32500004768
2020/05/26/02:05:04.630800,45772,1590426304,630603954,robotiq_ft_frame_id,-10.75,239.320007324,4.34999990463,5.22599983215,2.132999897,1.32500004768
2020/05/26/02:05:04.647034,45773,1590426304,646906745,robotiq_ft_frame_id,-10.6800003052,239.25,4.36000013351,5.22499990463,2.13100004196,1.32400000095
2020/05/26/02:05:04.663450,45774,1590426304,663261322,robotiq_ft_frame_id,-10.6300001144,239.339996338,4.23000001907,5.22900009155,2.132999897,1.32400000095
2020/05/26/02:05:04.679794,45775,1590426304,679628863,robotiq_ft_frame_id,-10.6199998856,239.309997559,4.26000022888,5.23199987411,2.132999897,1.32500004768
2020/05/26/02:05:04.696236,45776,1590426304,696048276,robotiq_ft_frame_id,-10.6899995804,239.199996948,4.26000022888,5.22900009155,2.132999897,1.32299995422
2020/05/26/02:05:04.712571,45777,1590426304,712411756,robotiq_ft_frame_id,-10.6499996185,239.320007324,4.23999977112,5.22900009155,2.13499999046,1.32400000095
2020/05/26/02:05:04.728921,45778,1590426304,728734393,robotiq_ft_frame_id,-10.6099996567,239.279998779,4.28000020981,5.22800016403,2.13499999046,1.32500004768
2020/05/26/02:05:04.745227,45779,1590426304,745026174,robotiq_ft_frame_id,-10.5900001526,239.339996338,4.36000013351,5.23000001907,2.13100004196,1.32400000095
2020/05/26/02:05:04.762043,45780,1590426304,761801955,robotiq_ft_frame_id,-10.5699996948,239.289993286,4.26999998093,5.22700023651,2.13100004196,1.32500004768
2020/05/26/02:05:04.774289,45781,1590426304,774106086,robotiq_ft_frame_id,-10.6099996567,239.25,4.28000020981,5.22900009155,2.13499999046,1.32700002193
2020/05/26/02:05:04.790605,45782,1590426304,790442238,robotiq_ft_frame_id,-10.6099996567,239.199996948,4.28000020981,5.22800016403,2.132999897,1.32700002193
2020/05/26/02:05:04.806963,45783,1590426304,806798327,robotiq_ft_frame_id,-10.6800003052,239.270004272,4.23999977112,5.22800016403,2.13499999046,1.32700002193
2020/05/26/02:05:04.823345,45784,1590426304,823106441,robotiq_ft_frame_id,-10.6000003815,239.38999939,4.21000003815,5.23199987411,2.13400006294,1.3259999752
2020/05/26/02:05:04.839631,45785,1590426304,839421252,robotiq_ft_frame_id,-10.5799999237,239.240005493,4.30999994278,5.22599983215,2.13000011444,1.32799994946
2020/05/26/02:05:04.855894,45786,1590426304,855723937,robotiq_ft_frame_id,-10.5799999237,239.240005493,4.23000001907,5.22900009155,2.13199996948,1.32700002193
2020/05/26/02:05:04.872236,45787,1590426304,872037686,robotiq_ft_frame_id,-10.6800003052,239.279998779,4.23999977112,5.22900009155,2.13499999046,1.3259999752
2020/05/26/02:05:04.888497,45788,1590426304,888351109,robotiq_ft_frame_id,-10.6199998856,239.210006714,4.28000020981,5.22800016403,2.132999897,1.3259999752
2020/05/26/02:05:04.904967,45789,1590426304,904722747,robotiq_ft_frame_id,-10.6199998856,239.339996338,4.21000003815,5.22900009155,2.132999897,1.32899999619
2020/05/26/02:05:04.921355,45790,1590426304,921124624,robotiq_ft_frame_id,-10.7600002289,239.190002441,4.23000001907,5.22800016403,2.13800001144,1.32700002193
2020/05/26/02:05:04.933611,45791,1590426304,933417375,robotiq_ft_frame_id,-10.6400003433,239.350006104,4.25,5.23199987411,2.13599991798,1.32700002193
2020/05/26/02:05:04.950037,45792,1590426304,949822077,robotiq_ft_frame_id,-10.6099996567,239.199996948,4.25,5.22800016403,2.132999897,1.32700002193
2020/05/26/02:05:04.966407,45793,1590426304,966230011,robotiq_ft_frame_id,-10.6499996185,239.25,4.21000003815,5.23000001907,2.132999897,1.3259999752
2020/05/26/02:05:04.982726,45794,1590426304,982590108,robotiq_ft_frame_id,-10.6499996185,239.339996338,4.21999979019,5.23000001907,2.13599991798,1.32700002193
2020/05/26/02:05:04.999212,45795,1590426304,999002360,robotiq_ft_frame_id,-10.6199998856,239.339996338,4.21999979019,5.23000001907,2.132999897,1.32700002193
2020/05/26/02:05:05.015665,45796,1590426305,15456582,robotiq_ft_frame_id,-10.6800003052,239.259994507,4.19000005722,5.23000001907,2.13499999046,1.3259999752
2020/05/26/02:05:05.032038,45797,1590426305,31861175,robotiq_ft_frame_id,-10.529999733,239.300003052,4.23000001907,5.23000001907,2.13199996948,1.32700002193
2020/05/26/02:05:05.048510,45798,1590426305,48232596,robotiq_ft_frame_id,-10.5600004196,239.380004883,4.25,5.23099994659,2.13199996948,1.32700002193
2020/05/26/02:05:05.064759,45799,1590426305,64598038,robotiq_ft_frame_id,-10.6499996185,239.190002441,4.19999980927,5.23000001907,2.13499999046,1.3259999752
2020/05/26/02:05:05.081215,45800,1590426305,80992756,robotiq_ft_frame_id,-10.6199998856,239.199996948,4.19000005722,5.22800016403,2.132999897,1.3259999752
2020/05/26/02:05:05.093445,45801,1590426305,93287142,robotiq_ft_frame_id,-10.6199998856,239.339996338,4.28000020981,5.22900009155,2.132999897,1.3259999752
2020/05/26/02:05:05.109945,45802,1590426305,109728322,robotiq_ft_frame_id,-10.6199998856,239.350006104,4.26000022888,5.22900009155,2.132999897,1.3259999752
2020/05/26/02:05:05.126277,45803,1590426305,126116797,robotiq_ft_frame_id,-10.6199998856,239.350006104,4.25,5.22900009155,2.132999897,1.3259999752
2020/05/26/02:05:05.142687,45804,1590426305,142468807,robotiq_ft_frame_id,-10.6599998474,239.25,4.28000020981,5.22900009155,2.132999897,1.32700002193
2020/05/26/02:05:05.158983,45805,1590426305,158769915,robotiq_ft_frame_id,-10.6800003052,239.229995728,4.28000020981,5.23000001907,2.13400006294,1.32799994946
2020/05/26/02:05:05.175362,45806,1590426305,175104262,robotiq_ft_frame_id,-10.6499996185,239.25,4.25,5.22900009155,2.13199996948,1.32500004768
2020/05/26/02:05:05.191668,45807,1590426305,191494482,robotiq_ft_frame_id,-10.6099996567,239.229995728,4.23999977112,5.22599983215,2.132999897,1.32299995422
2020/05/26/02:05:05.208117,45808,1590426305,207875415,robotiq_ft_frame_id,-10.6099996567,239.229995728,4.26999998093,5.22599983215,2.132999897,1.32400000095
2020/05/26/02:05:05.224465,45809,1590426305,224232816,robotiq_ft_frame_id,-10.6700000763,239.270004272,4.19000005722,5.22700023651,2.13400006294,1.32400000095
2020/05/26/02:05:05.240820,45810,1590426305,240604808,robotiq_ft_frame_id,-10.6800003052,239.279998779,4.21999979019,5.22800016403,2.13499999046,1.32500004768
2020/05/26/02:05:05.253147,45811,1590426305,252889814,robotiq_ft_frame_id,-10.5799999237,239.240005493,4.23000001907,5.22900009155,2.132999897,1.3259999752
2020/05/26/02:05:05.269464,45812,1590426305,269284971,robotiq_ft_frame_id,-10.5600004196,239.160003662,4.19999980927,5.22499990463,2.13199996948,1.32500004768
2020/05/26/02:05:05.285886,45813,1590426305,285732858,robotiq_ft_frame_id,-10.6300001144,239.25,4.19999980927,5.22900009155,2.13199996948,1.3259999752
2020/05/26/02:05:05.302256,45814,1590426305,302087588,robotiq_ft_frame_id,-10.6199998856,239.229995728,4.28999996185,5.22700023651,2.132999897,1.32299995422
2020/05/26/02:05:05.318612,45815,1590426305,318392278,robotiq_ft_frame_id,-10.5900001526,239.259994507,4.19000005722,5.22800016403,2.132999897,1.32299995422
