time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/02:02:25.268549,1,1590426145,213561058,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000872, -0.003055, 0.000287, 0.005184, 0.000465, 0.001277, 0.000373)"
2020/05/26/02:02:25.325256,2,1590426145,268455982,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.00087, -0.003055, 0.000287, 0.005184, 0.000465, 0.001283, 0.000369)"
2020/05/26/02:02:25.379048,3,1590426145,325169086,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000868, -0.003055, 0.000287, 0.005184, 0.000465, 0.00129, 0.000365)"
2020/05/26/02:02:25.435987,4,1590426145,378849029,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000863, -0.003055, 0.000287, 0.005184, 0.000465, 0.001294, 0.00036)"
2020/05/26/02:02:25.491040,5,1590426145,435723066,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000861, -0.003055, 0.000287, 0.005184, 0.000465, 0.0013, 0.000356)"
2020/05/26/02:02:25.546916,6,1590426145,490845918,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000859, -0.003055, 0.000287, 0.005184, 0.000465, 0.0013, 0.00035)"
2020/05/26/02:02:25.602386,7,1590426145,546901941,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000856, -0.003055, 0.000287, 0.005184, 0.000465, 0.001312, 0.000346)"
2020/05/26/02:02:25.659955,8,1590426145,602291107,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000854, -0.003055, 0.000287, 0.005184, 0.000465, 0.001317, 0.000342)"
2020/05/26/02:02:25.715789,9,1590426145,659845113,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000852, -0.003055, 0.000287, 0.005184, 0.000465, 0.001321, 0.000338)"
2020/05/26/02:02:25.774118,10,1590426145,715581893,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.00085, -0.003055, 0.000287, 0.005184, 0.000465, 0.001327, 0.000333)"
2020/05/26/02:02:25.829268,11,1590426145,774079084,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-0.000847, -0.003055, 0.000287, 0.005184, 0.000465, 0.001333, 0.000327)"
