time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/02:05:04.530246,1225,1590426304,475802898,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(6.8e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001155, 2.4e-05)"
2020/05/26/02:05:04.584598,1226,1590426304,530128955,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.000106, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001157, 2.2e-05)"
2020/05/26/02:05:04.640830,1227,1590426304,584320068,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001157, 2e-05)"
2020/05/26/02:05:04.695983,1228,1590426304,640770912,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001165, 1.8e-05)"
2020/05/26/02:05:04.750018,1229,1590426304,695703983,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(-124.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.000111, -0.003762, 5.4e-05, 0.004543, 0.000589, 0.001171, 1.8e-05)"
2020/05/26/02:05:04.802860,1230,1590426304,749766111,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.000106, -0.003801, 5.4e-05, 0.004543, 0.000589, 0.001167, 1.6e-05)"
2020/05/26/02:05:04.857373,1231,1590426304,802814960,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(6.3e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001173, 1.4e-05)"
2020/05/26/02:05:04.912146,1232,1590426304,857237100,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001157, 1.4e-05)"
2020/05/26/02:05:04.965375,1233,1590426304,912046909,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004541, 0.000589, 0.001163, 1.2e-05)"
2020/05/26/02:05:05.019099,1234,1590426304,965097904,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.000106, -0.003767, 5.4e-05, 0.004537, 0.000589, 0.001161, 1e-05)"
2020/05/26/02:05:05.072886,1235,1590426305,18882036,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001165, 1e-05)"
2020/05/26/02:05:05.126586,1236,1590426305,72863101,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.2e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001163, 8e-06)"
2020/05/26/02:05:05.182090,1237,1590426305,126427888,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.2e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001167, 6e-06)"
2020/05/26/02:05:05.237822,1238,1590426305,181869983,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001167, 6e-06)"
2020/05/26/02:05:05.292372,1239,1590426305,237540006,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001169, 4e-06)"
2020/05/26/02:05:05.345837,1240,1590426305,292284965,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001169, 2e-06)"
2020/05/26/02:05:05.401368,1241,1590426305,345817089,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004541, 0.000589, 0.001169, 2e-06)"
2020/05/26/02:05:05.454935,1242,1590426305,401303052,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001171, 0.0)"
2020/05/26/02:05:05.508516,1243,1590426305,454740047,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001171, 0.0)"
2020/05/26/02:05:05.560560,1244,1590426305,508357048,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.2e-05, 0.004543, 0.000589, 0.001171, 0.0)"
2020/05/26/02:05:05.614479,1245,1590426305,560370922,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001173, -2e-06)"
2020/05/26/02:05:05.668350,1246,1590426305,614254951,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001173, -2e-06)"
2020/05/26/02:05:05.724676,1247,1590426305,668302059,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.2e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001176, -4e-06)"
2020/05/26/02:05:05.780781,1248,1590426305,724481105,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 4.9e-05, 0.004543, 0.000589, 0.001176, -4e-06)"
2020/05/26/02:05:05.833638,1249,1590426305,780535936,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.4e-05, 0.004543, 0.000589, 0.001176, -4e-06)"
2020/05/26/02:05:05.888715,1250,1590426305,833353996,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.000106, -0.003767, 5.6e-05, 0.004543, 0.000589, 0.001178, -6e-06)"
2020/05/26/02:05:05.940593,1251,1590426305,888617038,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.6e-05, 0.004545, 0.000589, 0.001178, -6e-06)"
2020/05/26/02:05:05.994320,1252,1590426305,940570116,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.6e-05, 0.004545, 0.000589, 0.00118, -6e-06)"
2020/05/26/02:05:06.050121,1253,1590426305,994277000,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.6e-05, 0.004545, 0.000589, 0.00118, -8e-06)"
2020/05/26/02:05:06.105800,1254,1590426306,50082921,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(7.4e-05, -0.003767, 5.6e-05, 0.004543, 0.000589, 0.00118, -8e-06)"
