time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/01:50:21.454265,48,1590425421,408479928,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.500971,49,1590425421,454276084,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.546534,50,1590425421,500864982,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.593371,51,1590425421,546554088,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.637477,52,1590425421,593206882,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.682144,53,1590425421,637406110,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.728002,54,1590425421,682121992,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.774055,55,1590425421,728101015,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.819174,56,1590425421,774116039,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
2020/05/26/01:50:21.863632,57,1590425421,819117069,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(5, 1, 5, 5, 2, -3, 1)","(0.0043, -0.0008, 0.0043, 0.0043, -0.0017, -0.0029, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.02, 0.2484, -0.027, 0.0648, -0.0036)"
