time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/02:05:04.530205,1226,1590426304,475802898,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.584629,1227,1590426304,530128955,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.640945,1228,1590426304,584320068,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.695796,1229,1590426304,640770912,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.749992,1230,1590426304,695703983,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.802809,1231,1590426304,749766111,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.857306,1232,1590426304,802814960,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.912092,1233,1590426304,857237100,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:04.965107,1234,1590426304,912046909,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:05.018982,1235,1590426304,965097904,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:05.073064,1236,1590426305,18882036,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
2020/05/26/02:05:05.126604,1237,1590426305,72863101,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(-5, 5, -4, 0, 0, 0, 1)","(-0.0043, -0.0043, -0.0034, 0.0, 0.0, 0.0, -0.0014)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(0.0, -0.37, 0.0, 0.243, -0.027, 0.0396, 0.0)"
