time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2020/05/26/01:50:21.435735,3409,1590425421,435527134,robotiq_ft_frame_id,-10.9499998093,239.190002441,3.66000008583,5.21899986267,2.12700009346,1.33200001717
2020/05/26/01:50:21.452137,3410,1590425421,451890412,robotiq_ft_frame_id,-10.970000267,239.25,3.59999990463,5.21999979019,2.1289999485,1.33200001717
2020/05/26/01:50:21.464362,3411,1590425421,464199195,robotiq_ft_frame_id,-10.8900003433,239.179992676,3.6099998951,5.21899986267,2.125,1.33299994469
2020/05/26/01:50:21.480758,3412,1590425421,480554987,robotiq_ft_frame_id,-10.8599996567,239.229995728,3.63000011444,5.21899986267,2.12599992752,1.33299994469
2020/05/26/01:50:21.497156,3413,1590425421,496928228,robotiq_ft_frame_id,-10.8599996567,239.320007324,3.55999994278,5.22200012207,2.12599992752,1.33299994469
2020/05/26/01:50:21.513610,3414,1590425421,513290090,robotiq_ft_frame_id,-10.8800001144,239.220001221,3.70000004768,5.21700000763,2.12199997902,1.33299994469
2020/05/26/01:50:21.529774,3415,1590425421,529600973,robotiq_ft_frame_id,-10.8800001144,239.149993896,3.6400001049,5.21899986267,2.12299990654,1.33299994469
2020/05/26/01:50:21.546060,3416,1590425421,545889407,robotiq_ft_frame_id,-10.8500003815,239.130004883,3.53999996185,5.21799993515,2.12599992752,1.33200001717
2020/05/26/01:50:21.562456,3417,1590425421,562208197,robotiq_ft_frame_id,-10.9099998474,239.13999939,3.75,5.21799993515,2.125,1.33399999142
2020/05/26/01:50:21.578723,3418,1590425421,578516171,robotiq_ft_frame_id,-10.9399995804,239.130004883,3.73000001907,5.21600008011,2.12400007248,1.33299994469
2020/05/26/01:50:21.594976,3419,1590425421,594822323,robotiq_ft_frame_id,-10.8199996948,239.220001221,3.58999991417,5.22100019455,2.12700009346,1.33500003815
2020/05/26/01:50:21.611337,3420,1590425421,611107967,robotiq_ft_frame_id,-10.8100004196,239.169998169,3.70000004768,5.21799993515,2.125,1.33599996567
2020/05/26/01:50:21.627590,3421,1590425421,627400918,robotiq_ft_frame_id,-10.7899999619,239.179992676,3.63000011444,5.21799993515,2.125,1.33500003815
2020/05/26/01:50:21.643983,3422,1590425421,643723684,robotiq_ft_frame_id,-10.8500003815,239.220001221,3.58999991417,5.21899986267,2.12400007248,1.33299994469
2020/05/26/01:50:21.656132,3423,1590425421,655975042,robotiq_ft_frame_id,-10.8699998856,239.179992676,3.6400001049,5.21700000763,2.12299990654,1.33399999142
2020/05/26/01:50:21.672448,3424,1590425421,672259851,robotiq_ft_frame_id,-10.8900003433,239.190002441,3.65000009537,5.21700000763,2.125,1.33399999142
2020/05/26/01:50:21.688775,3425,1590425421,688550480,robotiq_ft_frame_id,-10.8999996185,239.199996948,3.6400001049,5.21600008011,2.12599992752,1.33399999142
2020/05/26/01:50:21.705037,3426,1590425421,704857270,robotiq_ft_frame_id,-10.9300003052,239.259994507,3.61999988556,5.22100019455,2.12599992752,1.33399999142
2020/05/26/01:50:21.721398,3427,1590425421,721166817,robotiq_ft_frame_id,-10.9300003052,239.279998779,3.57999992371,5.22200012207,2.12700009346,1.33399999142
2020/05/26/01:50:21.737732,3428,1590425421,737534794,robotiq_ft_frame_id,-10.8999996185,239.25,3.59999990463,5.22100019455,2.12700009346,1.33399999142
2020/05/26/01:50:21.754209,3429,1590425421,753943103,robotiq_ft_frame_id,-10.8500003815,239.179992676,3.6400001049,5.21899986267,2.12599992752,1.33299994469
2020/05/26/01:50:21.770655,3430,1590425421,770386609,robotiq_ft_frame_id,-10.8400001526,239.160003662,3.58999991417,5.21799993515,2.12700009346,1.33200001717
2020/05/26/01:50:21.786962,3431,1590425421,786732630,robotiq_ft_frame_id,-10.9200000763,239.279998779,3.69000005722,5.22100019455,2.12700009346,1.33200001717
2020/05/26/01:50:21.803319,3432,1590425421,803124566,robotiq_ft_frame_id,-10.8800001144,239.270004272,3.71000003815,5.21999979019,2.12599992752,1.33399999142
2020/05/26/01:50:21.815595,3433,1590425421,815426155,robotiq_ft_frame_id,-10.8900003433,239.179992676,3.55999994278,5.22200012207,2.1289999485,1.33399999142
2020/05/26/01:50:21.831954,3434,1590425421,831774597,robotiq_ft_frame_id,-10.8699998856,239.169998169,3.72000002861,5.21700000763,2.12299990654,1.33399999142
2020/05/26/01:50:21.848276,3435,1590425421,848105178,robotiq_ft_frame_id,-10.8699998856,239.179992676,3.6099998951,5.21899986267,2.12400007248,1.33399999142
2020/05/26/01:50:21.864628,3436,1590425421,864494787,robotiq_ft_frame_id,-10.9099998474,239.210006714,3.57999992371,5.21700000763,2.12800002098,1.33500003815
2020/05/26/01:50:21.881083,3437,1590425421,880870964,robotiq_ft_frame_id,-10.8900003433,239.190002441,3.71000003815,5.21600008011,2.12400007248,1.33500003815
2020/05/26/01:50:21.897548,3438,1590425421,897284704,robotiq_ft_frame_id,-10.8400001526,239.169998169,3.63000011444,5.21899986267,2.125,1.33299994469
2020/05/26/01:50:21.913808,3439,1590425421,913638766,robotiq_ft_frame_id,-10.8299999237,239.160003662,3.6400001049,5.21999979019,2.125,1.33299994469
2020/05/26/01:50:21.930250,3440,1590425421,930036686,robotiq_ft_frame_id,-10.8299999237,239.190002441,3.73000001907,5.22100019455,2.12299990654,1.33299994469
2020/05/26/01:50:21.946669,3441,1590425421,946442584,robotiq_ft_frame_id,-10.8699998856,239.220001221,3.6099998951,5.21999979019,2.12599992752,1.33200001717
2020/05/26/01:50:21.963112,3442,1590425421,962855489,robotiq_ft_frame_id,-10.8599996567,239.169998169,3.55999994278,5.21999979019,2.12700009346,1.33200001717
2020/05/26/01:50:21.975491,3443,1590425421,975208923,robotiq_ft_frame_id,-10.8400001526,239.169998169,3.75,5.21500015259,2.12199997902,1.33200001717
2020/05/26/01:50:21.991738,3444,1590425421,991582699,robotiq_ft_frame_id,-10.8599996567,239.210006714,3.58999991417,5.21899986267,2.125,1.33299994469
2020/05/26/01:50:22.008097,3445,1590425422,7956808,robotiq_ft_frame_id,-10.8500003815,239.220001221,3.66000008583,5.21899986267,2.12400007248,1.33399999142
2020/05/26/01:50:22.024467,3446,1590425422,24260147,robotiq_ft_frame_id,-10.7899999619,239.149993896,3.74000000954,5.21600008011,2.1210000515,1.33299994469
2020/05/26/01:50:22.040957,3447,1590425422,40685781,robotiq_ft_frame_id,-10.8500003815,239.160003662,3.77999997139,5.21500015259,2.12199997902,1.33299994469
2020/05/26/01:50:22.057293,3448,1590425422,57087066,robotiq_ft_frame_id,-10.8699998856,239.220001221,3.65000009537,5.21899986267,2.125,1.33500003815
2020/05/26/01:50:22.073581,3449,1590425422,73413936,robotiq_ft_frame_id,-10.8400001526,239.190002441,3.65000009537,5.21899986267,2.125,1.33399999142
2020/05/26/01:50:22.089897,3450,1590425422,89714000,robotiq_ft_frame_id,-10.8500003815,239.130004883,3.59999990463,5.21799993515,2.12599992752,1.33399999142
2020/05/26/01:50:22.106152,3451,1590425422,106013898,robotiq_ft_frame_id,-10.8800001144,239.179992676,3.6400001049,5.21899986267,2.125,1.33500003815
2020/05/26/01:50:22.122527,3452,1590425422,122336276,robotiq_ft_frame_id,-10.8500003815,239.240005493,3.66000008583,5.21799993515,2.12400007248,1.33299994469
2020/05/26/01:50:22.138828,3453,1590425422,138702198,robotiq_ft_frame_id,-10.8500003815,239.270004272,3.72000002861,5.21700000763,2.12400007248,1.33299994469
2020/05/26/01:50:22.151147,3454,1590425422,150966049,robotiq_ft_frame_id,-10.8999996185,239.199996948,3.75,5.21500015259,2.125,1.33399999142
2020/05/26/01:50:22.167556,3455,1590425422,167330201,robotiq_ft_frame_id,-10.9200000763,239.179992676,3.67000007629,5.21600008011,2.12599992752,1.33399999142
2020/05/26/01:50:22.183868,3456,1590425422,183723484,robotiq_ft_frame_id,-10.9399995804,239.179992676,3.56999993324,5.21700000763,2.12800002098,1.33200001717
2020/05/26/01:50:22.200306,3457,1590425422,200109735,robotiq_ft_frame_id,-10.9200000763,239.179992676,3.67000007629,5.21700000763,2.12599992752,1.33200001717
2020/05/26/01:50:22.216662,3458,1590425422,216447973,robotiq_ft_frame_id,-10.9600000381,239.169998169,3.50999999046,5.21999979019,2.1289999485,1.33399999142
2020/05/26/01:50:22.233068,3459,1590425422,232859386,robotiq_ft_frame_id,-10.9300003052,239.229995728,3.63000011444,5.21799993515,2.12599992752,1.33399999142
2020/05/26/01:50:22.249498,3460,1590425422,249294063,robotiq_ft_frame_id,-10.8699998856,239.179992676,3.66000008583,5.21899986267,2.12400007248,1.33500003815
2020/05/26/01:50:22.265833,3461,1590425422,265696458,robotiq_ft_frame_id,-10.9799995422,239.270004272,3.52999997139,5.21999979019,2.13100004196,1.33399999142
2020/05/26/01:50:22.282171,3462,1590425422,282048497,robotiq_ft_frame_id,-10.9799995422,239.179992676,3.57999992371,5.22100019455,2.13100004196,1.33299994469
2020/05/26/01:50:22.298613,3463,1590425422,298433206,robotiq_ft_frame_id,-10.8999996185,239.13999939,3.66000008583,5.21899986267,2.125,1.33200001717
2020/05/26/01:50:22.310920,3464,1590425422,310735995,robotiq_ft_frame_id,-10.8999996185,239.220001221,3.53999996185,5.21999979019,2.1289999485,1.33200001717
2020/05/26/01:50:22.327223,3465,1590425422,327081215,robotiq_ft_frame_id,-10.8699998856,239.210006714,3.67000007629,5.21799993515,2.125,1.33299994469
2020/05/26/01:50:22.343520,3466,1590425422,343364839,robotiq_ft_frame_id,-10.8599996567,239.25,3.73000001907,5.21700000763,2.12400007248,1.33200001717
2020/05/26/01:50:22.359816,3467,1590425422,359650641,robotiq_ft_frame_id,-10.8599996567,239.300003052,3.55999994278,5.22100019455,2.12700009346,1.33200001717
2020/05/26/01:50:22.376199,3468,1590425422,375980500,robotiq_ft_frame_id,-10.9499998093,239.199996948,3.66000008583,5.21899986267,2.12700009346,1.33200001717
2020/05/26/01:50:22.392482,3469,1590425422,392329079,robotiq_ft_frame_id,-10.8299999237,239.240005493,3.6099998951,5.22200012207,2.12599992752,1.33399999142
2020/05/26/01:50:22.408826,3470,1590425422,408655102,robotiq_ft_frame_id,-10.8400001526,239.259994507,3.56999993324,5.22200012207,2.12700009346,1.33500003815
2020/05/26/01:50:22.425274,3471,1590425422,425072926,robotiq_ft_frame_id,-10.8100004196,239.220001221,3.72000002861,5.22200012207,2.12400007248,1.3370000124
2020/05/26/01:50:22.441696,3472,1590425422,441460839,robotiq_ft_frame_id,-10.8400001526,239.199996948,3.72000002861,5.22100019455,2.12400007248,1.3370000124
2020/05/26/01:50:22.458050,3473,1590425422,457847874,robotiq_ft_frame_id,-10.8800001144,239.179992676,3.63000011444,5.22100019455,2.12700009346,1.33500003815
2020/05/26/01:50:22.474330,3474,1590425422,474153009,robotiq_ft_frame_id,-10.8599996567,239.199996948,3.65000009537,5.22100019455,2.12599992752,1.33399999142
2020/05/26/01:50:22.486480,3475,1590425422,486361137,robotiq_ft_frame_id,-10.8599996567,239.220001221,3.66000008583,5.21899986267,2.125,1.33299994469
2020/05/26/01:50:22.502848,3476,1590425422,502679811,robotiq_ft_frame_id,-10.8800001144,239.210006714,3.6400001049,5.21899986267,2.12599992752,1.33399999142
2020/05/26/01:50:22.519319,3477,1590425422,519079617,robotiq_ft_frame_id,-10.8800001144,239.259994507,3.72000002861,5.21899986267,2.125,1.33399999142
2020/05/26/01:50:22.535588,3478,1590425422,535411852,robotiq_ft_frame_id,-10.9200000763,239.240005493,3.57999992371,5.22100019455,2.12700009346,1.33299994469
2020/05/26/01:50:22.551877,3479,1590425422,551712187,robotiq_ft_frame_id,-10.8900003433,239.179992676,3.61999988556,5.21999979019,2.12599992752,1.33399999142
2020/05/26/01:50:22.568322,3480,1590425422,568061197,robotiq_ft_frame_id,-10.8299999237,239.119995117,3.66000008583,5.21700000763,2.12400007248,1.33299994469
2020/05/26/01:50:22.584539,3481,1590425422,584373389,robotiq_ft_frame_id,-10.8800001144,239.240005493,3.55999994278,5.21799993515,2.12599992752,1.33200001717
2020/05/26/01:50:22.600941,3482,1590425422,600752956,robotiq_ft_frame_id,-10.8599996567,239.25,3.65000009537,5.21799993515,2.125,1.33299994469
2020/05/26/01:50:22.617294,3483,1590425422,617096352,robotiq_ft_frame_id,-10.8599996567,239.259994507,3.61999988556,5.21899986267,2.12400007248,1.33399999142
2020/05/26/01:50:22.633734,3484,1590425422,633491056,robotiq_ft_frame_id,-10.9200000763,239.300003052,3.58999991417,5.21999979019,2.12700009346,1.33299994469
2020/05/26/01:50:22.650131,3485,1590425422,649875334,robotiq_ft_frame_id,-10.8599996567,239.190002441,3.63000011444,5.22100019455,2.125,1.33599996567
2020/05/26/01:50:22.662322,3486,1590425422,662186162,robotiq_ft_frame_id,-10.7700004578,239.100006104,3.61999988556,5.21600008011,2.12299990654,1.33299994469
2020/05/26/01:50:22.678680,3487,1590425422,678531167,robotiq_ft_frame_id,-10.8599996567,239.059997559,3.51999998093,5.21700000763,2.12700009346,1.33299994469
2020/05/26/01:50:22.695195,3488,1590425422,694938048,robotiq_ft_frame_id,-10.9399995804,239.259994507,3.69000005722,5.21700000763,2.12599992752,1.33299994469
2020/05/26/01:50:22.711494,3489,1590425422,711310888,robotiq_ft_frame_id,-10.8999996185,239.210006714,3.67000007629,5.21600008011,2.12599992752,1.33399999142
2020/05/26/01:50:22.727763,3490,1590425422,727667239,robotiq_ft_frame_id,-10.9200000763,239.220001221,3.46000003815,5.21899986267,2.13000011444,1.33000004292
2020/05/26/01:50:22.744176,3491,1590425422,743990906,robotiq_ft_frame_id,-10.8699998856,239.130004883,3.72000002861,5.21999979019,2.12299990654,1.33299994469
2020/05/26/01:50:22.760500,3492,1590425422,760295452,robotiq_ft_frame_id,-10.8400001526,239.179992676,3.67000007629,5.22100019455,2.12400007248,1.33299994469
2020/05/26/01:50:22.776882,3493,1590425422,776693999,robotiq_ft_frame_id,-10.9499998093,239.190002441,3.56999993324,5.21799993515,2.1289999485,1.33099997044
2020/05/26/01:50:22.793227,3494,1590425422,793027305,robotiq_ft_frame_id,-10.970000267,239.220001221,3.65000009537,5.21999979019,2.12800002098,1.33200001717
2020/05/26/01:50:22.809567,3495,1590425422,809377461,robotiq_ft_frame_id,-10.9099998474,239.210006714,3.65000009537,5.21700000763,2.12599992752,1.33200001717
2020/05/26/01:50:22.825937,3496,1590425422,825756206,robotiq_ft_frame_id,-10.8400001526,239.130004883,3.6099998951,5.21899986267,2.12599992752,1.33200001717
2020/05/26/01:50:22.838307,3497,1590425422,838067381,robotiq_ft_frame_id,-10.8500003815,239.119995117,3.70000004768,5.21600008011,2.12400007248,1.33299994469
2020/05/26/01:50:22.854668,3498,1590425422,854456637,robotiq_ft_frame_id,-10.8800001144,239.179992676,3.6400001049,5.22200012207,2.12800002098,1.33399999142
2020/05/26/01:50:22.871011,3499,1590425422,870839000,robotiq_ft_frame_id,-10.8999996185,239.220001221,3.58999991417,5.21999979019,2.1289999485,1.33200001717
2020/05/26/01:50:22.887478,3500,1590425422,887247873,robotiq_ft_frame_id,-10.8699998856,239.210006714,3.68000006676,5.21899986267,2.12599992752,1.33299994469
2020/05/26/01:50:22.903849,3501,1590425422,903600400,robotiq_ft_frame_id,-10.8699998856,239.220001221,3.58999991417,5.21999979019,2.12599992752,1.33099997044
2020/05/26/01:50:22.920196,3502,1590425422,920040517,robotiq_ft_frame_id,-10.8599996567,239.220001221,3.61999988556,5.21899986267,2.125,1.33200001717
2020/05/26/01:50:22.936555,3503,1590425422,936380913,robotiq_ft_frame_id,-10.8400001526,239.169998169,3.65000009537,5.22100019455,2.12400007248,1.33299994469
2020/05/26/01:50:22.952991,3504,1590425422,952755774,robotiq_ft_frame_id,-10.8000001907,239.13999939,3.6400001049,5.21899986267,2.12400007248,1.33200001717
2020/05/26/01:50:22.969294,3505,1590425422,969111499,robotiq_ft_frame_id,-10.8199996948,239.220001221,3.77999997139,5.21799993515,2.12199997902,1.33299994469
2020/05/26/01:50:22.985737,3506,1590425422,985508246,robotiq_ft_frame_id,-10.8699998856,239.25,3.68000006676,5.21799993515,2.125,1.33200001717
2020/05/26/01:50:22.998008,3507,1590425422,997837827,robotiq_ft_frame_id,-10.8599996567,239.220001221,3.65000009537,5.21799993515,2.12599992752,1.33200001717
