time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.pulse,.position,.velocity,.torque
2020/05/26/02:02:25.268623,1,1590426145,213561058,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -3.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.324937,2,1590426145,268455982,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -3.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.379064,3,1590426145,325169086,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -3.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.435942,4,1590426145,378849029,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -3.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.490779,5,1590426145,435723066,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -3.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.546818,6,1590426145,490845918,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 5.0, -3.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.602196,7,1590426145,546901941,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.660153,8,1590426145,602291107,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.715770,9,1590426145,659845113,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0432, 0.0144)"
2020/05/26/02:02:25.773924,10,1590426145,715581893,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0468, 0.0108)"
2020/05/26/02:02:25.829283,11,1590426145,774079084,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0468, 0.0108)"
2020/05/26/02:02:25.885337,12,1590426145,829063892,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0468, 0.0108)"
2020/05/26/02:02:25.940509,13,1590426145,885457992,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0468, 0.0108)"
2020/05/26/02:02:25.997013,14,1590426145,940433025,,"['joint_S', 'joint_L', 'joint_E', 'joint_U', 'joint_R', 'joint_B', 'joint_T']","(2, -5, -1, -5, 6, 5, 3)","(0.0017, 0.0043, -0.0008, -0.0043, -0.0052, 0.0049, -0.0044)","(0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -2.0)","(-0.08, -0.3, 0.02, 0.2754, -0.0216, 0.0468, 0.0108)"
